image_url,question_text,optionA,optionB,optionC,optionD,optionE,optionF,optionG,optionH,optionI,optionJ
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_AVERAGE.png,Which month had the most crime occur overall?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,"Which decreased more from May to June, burglary cimes or stolen vehicles crimes?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the highest vandalism occurances?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which type of theft increased the most from June to July?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which type of theft decreased the most from May to June?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which type of theft decreased the most from October to November?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the most crime occur overall?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,"In the month with highest petty theft crime rate, what was the second lowest type of crime?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,What crime occured less than petty theft crimes but more than stolen vehicle crimes in October?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month has the least amount of trespassing?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,"Which month had the least amount of theft overall, February or August?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the 2nd least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the most amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the least amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which type of theft decreased the most from July to August?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,"Which increased more from September to October, burglary or petty theft?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the 2nd most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,"Which month had the most petty theft, July or October?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_DOT.png,Which month had the 3rd highest petty theft rate?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,"In the month with highest petty theft crime rate, what was the second lowest type of crime?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which type of theft increased the most from June to July?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the most amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,What crime occured less than petty theft crimes but more than stolen vehicle crimes in October?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,"Which month had the least amount of theft overall, February or August?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which type of theft decreased the most from October to November?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,"Which decreased more from May to June, burglary cimes or stolen vehicles crimes?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which type of theft decreased the most from July to August?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the 2nd least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the highest vandalism occurances?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the least amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the 3rd highest petty theft rate?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month has the least amount of trespassing?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which type of theft decreased the most from May to June?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the 2nd most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,"Which month had the most petty theft, July or October?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,"Which increased more from September to October, burglary or petty theft?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_LINE.png,Which month had the most crime occur overall?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the 2nd least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the most amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,"In the month with highest petty theft crime rate, what was the second lowest type of crime?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which type of theft decreased the most from May to June?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the 2nd most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which type of theft decreased the most from July to August?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,"Which decreased more from May to June, burglary cimes or stolen vehicles crimes?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the least amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,"Which month had the least amount of theft overall, February or August?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which type of theft decreased the most from October to November?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which type of theft increased the most from June to July?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the highest vandalism occurances?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,"Which increased more from September to October, burglary or petty theft?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the 3rd highest petty theft rate?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month has the least amount of trespassing?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,Which month had the most crime occur overall?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,What crime occured less than petty theft crimes but more than stolen vehicle crimes in October?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_NONE.png,"Which month had the most petty theft, July or October?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month has the least amount of trespassing?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,"Which decreased more from May to June, burglary cimes or stolen vehicles crimes?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,What crime occured less than petty theft crimes but more than stolen vehicle crimes in October?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,"In the month with highest petty theft crime rate, what was the second lowest type of crime?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,"Which month had the most petty theft, July or October?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the 2nd most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the most amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,"Which month had the least amount of theft overall, February or August?",February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the least amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the 3rd highest petty theft rate?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which type of theft decreased the most from July to August?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the most crime occur overall?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the highest vandalism occurances?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which type of theft increased the most from June to July?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the 2nd least amount of grand theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which month had the most amount of petty theft?,February,March,April,May,June,July,August,September,October,November
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which type of theft decreased the most from May to June?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,Which type of theft decreased the most from October to November?,Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR1_VALUE.png,"Which increased more from September to October, burglary or petty theft?",Abuse,Trespassing,Traffic,Vandalism,Stolen Vehicle,Burglary,Grand Theft,Petty Theft,Battery,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"When did 20-24 year olds have a lower risk for diabetes, during 2002 or 2006?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"Which year had did younger adults have the most risk, 2004 or 2006?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Which group had the lowest risk of diabetes in 2002?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,What year were 75+ year olds most at risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Whose risk increased the most from 2010 to 2012?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,What year did younger adults have their highest risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,What year did 20-24 year olds have the lowest risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Whose risk decreased the most from 2000 to 2002?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"Whose risk decreased more from 2006 to 2008, 20-24 year olds or 25-44 year olds?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"In the year where 20-24 year olds were most at risk, what was 2nd most at risk group overall?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"Whose risk increased more from 2008 to 2010, 65-74 year olds or people above 75?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,What year did 45-64 year olds have their lowest risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Which group had the highest risk of diabetes in 2012?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"In the year where 75+ year olds had their 2nd lowest risk, which age group had the 3rd highest risk?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Which age group was the 3rd most at risk in 2000?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"Which year did 45-64 year olds have the highest risk, 2004 or 2012?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,"Which year had did older adults have the least risk, 2006 or 2008?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,Which year has the smallest risk for 45-64 year olds?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_AVERAGE.png,What year did older adults have their 2nd highest risk rate?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,"In the year where 20-24 year olds were most at risk, what was 2nd most at risk group overall?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,What year did younger adults have their highest risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,Which group had the lowest risk of diabetes in 2002?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,"Whose risk increased more from 2008 to 2010, 65-74 year olds or people above 75?",20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,Which group had the highest risk of diabetes in 2012?,20-24,25-44,45-64,65-74,75+,,,,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,"Which year did 45-64 year olds have the highest risk, 2004 or 2012?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,"Which year had did younger adults have the most risk, 2004 or 2006?",2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,What year did 20-24 year olds have the lowest risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
https://information-visualizations-mturk-images.s3-us-west-1.amazonaws.com/Amazon+S3+Images/BAR2_DOT.png,What year were 75+ year olds most at risk for diabetes?,2000,2002,2004,2006,2008,2010,2012,2014,,
